Stkcd,Stknme,Listdt,Conme,Conme_en,Nnindcd,Nnindnme,PROVINCE,PROVINCECODE,CITY,CITYCODE,OWNERSHIPTYPE,OWNERSHIPTYPECODE,Markettype
688232,新点软件,11/17/2021,国泰新点软件股份有限公司,"Guotai Epoint Software Co., Ltd.",I65,软件和信息技术服务业,江苏省,320000,张家港市,320582,私营企业,P0306,32
688233,神工股份,2/21/2020,锦州神工半导体股份有限公司,Thinkon Semiconductor Jinzhou Corp.,C30,非金属矿物制品业,辽宁省,210000,锦州市,210700,中外合资,P0303,32
688234,天岳先进,1/12/2022,山东天岳先进科技股份有限公司,"SICC Co., Ltd.",C39,计算机、通信和其他电子设备制造业,山东省,370000,济南市,370100,私营企业,P0306,32
688235,百济神州,12/15/2021,百济神州有限公司,"BeiGene, Ltd.",C27,医药制造业,开曼群岛,136,开曼群岛,136,外商独资,P0304,32
688236,春立医疗,12/30/2021,北京市春立正达医疗器械股份有限公司,"Beijing Chunlizhengda Medical Instruments Co., Ltd.",C35,专用设备制造业,北京市,110000,北京市,110000,私营企业,P0306,32
688237,超卓航科,7/1/2022,湖北超卓航空科技股份有限公司,"Hubei Chaozhuo Aviation Technology Co., Ltd.",C37,铁路、船舶、航空航天和其它运输设备制造业,湖北省,420000,襄阳市,420600,私营企业,P0306,32
688238,和元生物,3/22/2022,和元生物技术(上海)股份有限公司,"Obio Technology (Shanghai) Corp., Ltd.",M73,研究和试验发展,上海市,310000,上海市,310000,私营企业,P0306,32
688239,航宇科技,7/5/2021,贵州航宇科技发展股份有限公司,"Guizhou Aviation Technical Development Co., Ltd.",C37,铁路、船舶、航空航天和其它运输设备制造业,贵州省,520000,贵阳市,520100,私营企业,P0306,32
688244,永信至诚,10/19/2022,永信至诚科技集团股份有限公司,Integrity Technology Group Inc.,I65,软件和信息技术服务业,北京市,110000,北京市,110000,私营企业,P0306,32
688246,嘉和美康,12/14/2021,嘉和美康(北京)科技股份有限公司,"Goodwill E-Health Info Co., Ltd.",I65,软件和信息技术服务业,北京市,110000,北京市,110000,私营企业,P0306,32
688247,宣泰医药,8/25/2022,上海宣泰医药科技股份有限公司,Sinotherapeutics Inc.,C27,医药制造业,上海市,310000,上海市,310000,中外合资,P0303,32
688248,南网科技,12/22/2021,南方电网电力科技股份有限公司,"China Southern Power Grid Technology Co., Ltd.",M74,专业技术服务业,广东省,440000,广州市,440100,国营或国有控股,P0301,32
688249,晶合集成,5/5/2023,合肥晶合集成电路股份有限公司,Nexchip Semiconductor Corporation,C39,计算机、通信和其他电子设备制造业,安徽省,340000,合肥市,340100,私营企业,P0306,32
