Stkcd,Stknme,Listdt,Conme,Conme_en,Nnindcd,Nnindnme,PROVINCE,PROVINCECODE,CITY,CITYCODE,OWNERSHIPTYPE,OWNERSHIPTYPECODE,Markettype
1,平安银行,4/3/1991,平安银行股份有限公司,"Ping An Bank Co., Ltd.",J66,货币金融服务,广东省,440000,深圳市,440300,私营企业,P0306,4
2,万科A,1/29/1991,万科企业股份有限公司,"China Vanke Co., Ltd.",K70,房地产业,广东省,440000,深圳市,440300,国营或国有控股,P0301,4
3,PT 金田A,7/3/1991,金田实业(集团)股份有限公司,"Gintian Industry (Group) Co., Ltd.",S90,综合,广东省,440000,深圳市,440300,国营或国有控股,P0301,4
4,国华网安,1/14/1991,深圳国华网安科技股份有限公司,"Shenzhen Guohua Network Security Technology Co., Ltd.",I65,软件和信息技术服务业,广东省,440000,深圳市,440300,私营企业,P0306,4
5,ST 星源,12/10/1990,深圳世纪星源股份有限公司,Shenzhen Fountain Corporation,N77,生态保护和环境治理业,广东省,440000,深圳市,440300,中外合资,P0303,4
6,深振业A,4/27/1992,深圳市振业(集团)股份有限公司,"Shenzhen Zhenye (Group) Co., Ltd.",K70,房地产业,广东省,440000,深圳市,440300,国营或国有控股,P0301,4
7,全新好,4/13/1992,深圳市全新好股份有限公司,"Shenzhen Quanxinhao Co., Ltd.",K70,房地产业,广东省,440000,深圳市,440300,私营企业,P0306,4
8,神州高铁,5/7/1992,神州高铁技术股份有限公司,"China High-Speed Railway Technology Co., Ltd.",C37,铁路、船舶、航空航天和其它运输设备制造业,北京市,110000,北京市,110000,私营企业,P0306,4
9,中国宝安,6/25/1991,中国宝安集团股份有限公司,"China Baoan Group Co., Ltd.",S90,综合,广东省,440000,深圳市,440300,国营或国有控股,P0301,4
10,美丽生态,10/27/1995,深圳美丽生态股份有限公司,"Shenzhen Ecobeauty Co., Ltd.",E48,土木工程建筑业,广东省,440000,深圳市,440300,私营企业,P0306,4
11,深物业A,3/30/1992,深圳市物业发展(集团)股份有限公司,Shenzhen Properties & Resources Development (Group) Ltd.,K70,房地产业,广东省,440000,深圳市,440300,国营或国有控股,P0301,4
12,南玻A,2/28/1992,中国南玻集团股份有限公司,"CSG Holding Co., Ltd.",C30,非金属矿物制品业,广东省,440000,深圳市,440300,国营或国有控股,P0301,4
13,*ST 石化A,5/6/1992,深圳石化工业集团股份有限公司,"Shenzhen Petrochemical Industry (Group) Co., Ltd.",F51,批发业,广东省,440000,深圳市,440300,国营或国有控股,P0301,4
14,沙河股份,6/2/1992,沙河实业股份有限公司,"Shahe Industrial Co., Ltd.",K70,房地产业,广东省,440000,深圳市,440300,国营或国有控股,P0301,4
15,PT 中浩A,6/25/1992,深圳中浩(集团)股份有限公司,"Shenzhen Zhonghao (Group) Co., Ltd.",S90,综合,广东省,440000,深圳市,440300,私营企业,P0306,4
16,深康佳A,3/27/1992,康佳集团股份有限公司,"Konka Group Co., Ltd.",C39,计算机、通信和其他电子设备制造业,广东省,440000,深圳市,440300,国营或国有控股,P0301,4
17,深中华A,3/31/1992,深圳中华自行车(集团)股份有限公司,Shenzhen China Bicycle Company (Holdings) Limited,C37,铁路、船舶、航空航天和其它运输设备制造业,广东省,440000,深圳市,440300,中外合资,P0303,4
18,神城A退,6/16/1992,神州长城股份有限公司,"Sino Great Wall Co., Ltd.",E50,建筑装饰和其他建筑业,广东省,440000,深圳市,440300,私营企业,P0306,4
19,深粮控股,10/12/1992,深圳市深粮控股股份有限公司,"Shenzhen Cereals Holdings Co., Ltd.",F51,批发业,广东省,440000,深圳市,440300,国营或国有控股,P0301,4
20,深华发A,4/28/1992,深圳中恒华发股份有限公司,"Shenzhen Zhongheng Huafa Co., Ltd.",C39,计算机、通信和其他电子设备制造业,广东省,440000,深圳市,440300,中外合资,P0303,4
21,深科技,2/2/1994,深圳长城开发科技股份有限公司,"Shenzhen Kaifa Technology Co., Ltd.",C39,计算机、通信和其他电子设备制造业,广东省,440000,深圳市,440300,国营或国有控股,P0301,4
22,深赤湾A,5/5/1993,招商局港口集团股份有限公司,"China Merchants Port Group Co., Ltd.",G55,水上运输业,广东省,440000,深圳市,440300,中外合资,P0303,4
23,*ST 深天,4/29/1993,深圳市天地(集团)股份有限公司,"Shenzhen Universe (Group) Co., Ltd.",C30,非金属矿物制品业,广东省,440000,深圳市,440300,私营企业,P0306,4
24,招商地产,6/7/1993,招商局地产控股股份有限公司,"China Merchants Property Development Co., Ltd.",K70,房地产业,广东省,440000,深圳市,440300,国营或国有控股,P0301,4
25,特力A,6/21/1993,深圳市特力(集团)股份有限公司,"Shenzhen Tellus Holding Co., Ltd.",F51,批发业,广东省,440000,深圳市,440300,国营或国有控股,P0301,4
26,飞亚达,6/3/1993,飞亚达精密科技股份有限公司,"FIYTA Precision Technology Co., Ltd.",F52,零售业,广东省,440000,深圳市,440300,国营或国有控股,P0301,4
27,深圳能源,9/3/1993,深圳能源集团股份有限公司,"Shenzhen Energy Group Co., Ltd.",D44,电力、热力生产和供应业,广东省,440000,深圳市,440300,国营或国有控股,P0301,4
28,国药一致,8/9/1993,国药集团一致药业股份有限公司,China National Accord Medicines Corporation Ltd.,F51,批发业,广东省,440000,深圳市,440300,国营或国有控股,P0301,4
29,深深房A,9/15/1993,深圳经济特区房地产(集团)股份有限公司,"Shenzhen Special Economic Zone Real Estate & Properties (Group) Co., Ltd.",K70,房地产业,广东省,440000,深圳市,440300,国营或国有控股,P0301,4
30,富奥股份,9/29/1993,富奥汽车零部件股份有限公司,FAWER Automotive Parts Limited Company,C36,汽车制造业,吉林省,220000,长春市,220100,国营或国有控股,P0301,4
31,大悦城,10/8/1993,大悦城控股集团股份有限公司,"Grandjoy Holdings Group Co., Ltd.",K70,房地产业,广东省,440000,深圳市,440300,国营或国有控股,P0301,4
32,深桑达A,10/28/1993,深圳市桑达实业股份有限公司,"Shenzhen SED Industry Co., Ltd.",E49,建筑安装业,广东省,440000,深圳市,440300,国营或国有控股,P0301,4
33,新都退,1/3/1994,深圳新都酒店股份有限公司,"Shenzhen Century Plaza Hotel Co., Ltd.",H61,住宿业,广东省,440000,深圳市,440300,私营企业,P0306,4
34,神州数码,5/9/1994,神州数码集团股份有限公司,"Digital China Group Co., Ltd.",F51,批发业,广东省,440000,深圳市,440300,私营企业,P0306,4
35,中国天楹,4/8/1994,中国天楹股份有限公司,China Tianying Inc.,N77,生态保护和环境治理业,江苏省,320000,海安市,320685,私营企业,P0306,4
36,华联控股,6/17/1994,华联控股股份有限公司,China Union Holdings Ltd.,K70,房地产业,广东省,440000,深圳市,440300,私营企业,P0306,4
37,深南电A,7/1/1994,深圳南山热电股份有限公司,"Shenzhen Nanshan Power Co., Ltd.",D44,电力、热力生产和供应业,广东省,440000,深圳市,440300,中外合资,P0303,4
38,大通退,8/8/1994,深圳大通实业股份有限公司,"Shenzhen Capstone Industrial Co., Ltd.",L72,商务服务业,广东省,440000,深圳市,440300,私营企业,P0306,4
39,中集集团,4/8/1994,中国国际海运集装箱(集团)股份有限公司,"China International Marine Containers (Group) Co., Ltd.",C33,金属制品业,广东省,440000,深圳市,440300,中外合资,P0303,4
40,ST 旭蓝,8/8/1994,东旭蓝天新能源股份有限公司,"Tunghsu Azure Renewable Energy Co., Ltd.",D44,电力、热力生产和供应业,广东省,440000,深圳市,440300,私营企业,P0306,4
42,中洲控股,9/21/1994,深圳市中洲投资控股股份有限公司,"Shenzhen Centralcon Investment Holding Co., Ltd.",K70,房地产业,广东省,440000,深圳市,440300,国营或国有控股,P0301,4
43,中航善达,9/28/1994,招商局积余产业运营服务股份有限公司,"China Merchants Property Operation & Service Co., Ltd.",K70,房地产业,广东省,440000,深圳市,440300,国营或国有控股,P0301,4
45,深纺织A,8/15/1994,深圳市纺织(集团)股份有限公司,"Shenzhen Textile (Holdings) Co., Ltd.",C39,计算机、通信和其他电子设备制造业,广东省,440000,深圳市,440300,国营或国有控股,P0301,4
46,*ST 泛海,9/12/1994,泛海控股股份有限公司,"Oceanwide Holdings Co., Ltd.",J69,其他金融业,北京市,110000,北京市,110000,私营企业,P0306,4
47,ST 中侨,10/21/1994,深圳市中侨发展股份有限公司,"Shenzhen Overglobe Development Co., Ltd.",K70,房地产业,广东省,440000,深圳市,440300,私营企业,P0306,4
48,京基智农,11/1/1994,深圳市京基智农时代股份有限公司,"Shenzhen Kingkey Smart Agriculture Times Co., Ltd.",C13,农副食品加工业,广东省,440000,深圳市,440300,私营企业,P0306,4
49,德赛电池,3/20/1995,深圳市德赛电池科技股份有限公司,"Shenzhen Desay Battery Technology Co., Ltd.",C38,电气机械及器材制造业,广东省,440000,深圳市,440300,国营或国有控股,P0301,4
50,深天马A,3/15/1995,天马微电子股份有限公司,"Tianma Micro-electronics Co., Ltd.",C39,计算机、通信和其他电子设备制造业,广东省,440000,深圳市,440300,国营或国有控股,P0301,4
55,方大集团,4/15/1996,方大集团股份有限公司,"China Fangda Group Co., Ltd.",C33,金属制品业,广东省,440000,深圳市,440300,私营企业,P0306,4
56,皇庭国际,7/8/1996,深圳市皇庭国际企业股份有限公司,"Shenzhen Wongtee International Enterprise Co., Ltd.",L72,商务服务业,广东省,440000,深圳市,440300,中外合资,P0303,4
58,深赛格,12/26/1996,深圳赛格股份有限公司,"Shenzhen SEG Co., Ltd.",L72,商务服务业,广东省,440000,深圳市,440300,国营或国有控股,P0301,4
59,华锦股份,1/30/1997,北方华锦化学工业股份有限公司,"North Huajin Chemical Industries Co., Ltd.",C25,石油加工、炼焦及核燃料加工业,辽宁省,210000,盘锦市,211100,国营或国有控股,P0301,4
60,中金岭南,1/23/1997,深圳市中金岭南有色金属股份有限公司,"Shenzhen Zhongjin Lingnan Nonfemet Co., Ltd.",C32,有色金属冶炼及压延加工业,广东省,440000,深圳市,440300,国营或国有控股,P0301,4
61,农产品,1/10/1997,深圳市农产品集团股份有限公司,"Shenzhen Agricultural Products Group Co., Ltd.",L72,商务服务业,广东省,440000,深圳市,440300,国营或国有控股,P0301,4
62,深圳华强,1/30/1997,深圳华强实业股份有限公司,"Shenzhen Huaqiang Industry Co., Ltd.",F51,批发业,广东省,440000,深圳市,440300,私营企业,P0306,4
63,中兴通讯,11/18/1997,中兴通讯股份有限公司,ZTE Corporation,C39,计算机、通信和其他电子设备制造业,广东省,440000,深圳市,440300,国营或国有控股,P0301,4
65,北方国际,6/5/1998,北方国际合作股份有限公司,NORINCO International Cooperation Ltd.,E48,土木工程建筑业,北京市,110000,北京市,110000,国营或国有控股,P0301,4
66,中国长城,6/26/1997,中国长城科技集团股份有限公司,"China Greatwall Technology Group Co., Ltd.",C39,计算机、通信和其他电子设备制造业,广东省,440000,深圳市,440300,国营或国有控股,P0301,4
68,华控赛格,6/11/1997,深圳华控赛格股份有限公司,"Shenzhen Huakong SEG Co., Ltd.",M74,专业技术服务业,广东省,440000,深圳市,440300,私营企业,P0306,4
69,华侨城A,9/10/1997,深圳华侨城股份有限公司,"Shenzhen Overseas Chinese Town Co., Ltd.",K70,房地产业,广东省,440000,深圳市,440300,国营或国有控股,P0301,4
70,ST 特信,5/11/2000,深圳市特发信息股份有限公司,"Shenzhen SDG Information Co., Ltd.",C38,电气机械及器材制造业,广东省,440000,深圳市,440300,国营或国有控股,P0301,4
78,海王生物,12/18/1998,深圳市海王生物工程股份有限公司,"Shenzhen Neptunus Bioengineering Co., Ltd.",F52,零售业,广东省,440000,深圳市,440300,私营企业,P0306,4
88,盐田港,7/28/1997,深圳市盐田港股份有限公司,"Shenzhen Yantian Port Holdings Co., Ltd.",G54,道路运输业,广东省,440000,深圳市,440300,国营或国有控股,P0301,4
89,深圳机场,4/20/1998,深圳市机场股份有限公司,"Shenzhen Airport Co., Ltd.",G56,航空运输业,广东省,440000,深圳市,440300,国营或国有控股,P0301,4
90,天健集团,7/21/1999,深圳市天健(集团)股份有限公司,"Shenzhen Tagen Group Co., Ltd.",E48,土木工程建筑业,广东省,440000,深圳市,440300,国营或国有控股,P0301,4
96,广聚能源,7/24/2000,深圳市广聚能源股份有限公司,"Shenzhen Guangju Energy Co., Ltd.",F51,批发业,广东省,440000,深圳市,440300,国营或国有控股,P0301,4
99,中信海直,7/31/2000,中信海洋直升机股份有限公司,"CITIC Offshore Helicopter Co., Ltd.",G56,航空运输业,广东省,440000,深圳市,440300,国营或国有控股,P0301,4
100,TCL科技,1/30/2004,TCL科技集团股份有限公司,TCL Technology Group Corporation,C39,计算机、通信和其他电子设备制造业,广东省,440000,惠州市,441300,国营或国有控股,P0301,4
150,*ST 宜康,8/7/2000,宜华健康医疗股份有限公司,"Yihua Healthcare Co., Ltd.",Q83,卫生,广东省,440000,汕头市,440500,私营企业,P0306,4
151,中成股份,9/6/2000,中成进出口股份有限公司,China National Complete Plant Import & Export Corp. Ltd.,F51,批发业,北京市,110000,北京市,110000,国营或国有控股,P0301,4
153,丰原药业,9/20/2000,安徽丰原药业股份有限公司,"Anhui Fengyuan Pharmaceutical Co., Ltd.",C27,医药制造业,安徽省,340000,芜湖市,340200,私营企业,P0306,4
155,川能动力,9/26/2000,四川省新能源动力股份有限公司,Sichuan New Energy Power Company Limited,D44,电力、热力生产和供应业,四川省,510000,成都市,510100,国营或国有控股,P0301,4
156,华数传媒,9/6/2000,华数传媒控股股份有限公司,"Wasu Media Holding Co., Ltd.",R86,广播、电视、电影和影视录音制作业,浙江省,330000,杭州市,330100,私营企业,P0306,4
157,中联重科,10/12/2000,中联重科股份有限公司,"Zoomlion Heavy Industry Science & Technology Co., Ltd.",C35,专用设备制造业,湖南省,430000,长沙市,430100,中外合资,P0303,4
158,常山北明,7/24/2000,石家庄常山北明科技股份有限公司,"Shijiazhuang Changshan Beiming Technology Co., Ltd.",I65,软件和信息技术服务业,河北省,130000,石家庄市,130100,国营或国有控股,P0301,4
159,国际实业,9/26/2000,新疆国际实业股份有限公司,"Xinjiang International Industry Co., Ltd.",F51,批发业,新疆维吾尔自治区,650000,乌鲁木齐市,650100,私营企业,P0306,4
166,申万宏源,1/26/2015,申万宏源集团股份有限公司,"Shenwan Hongyuan Group Co., Ltd.",J67,资本市场服务,新疆维吾尔自治区,650000,乌鲁木齐市,650100,国营或国有控股,P0301,4
301,东方盛虹,5/29/2000,江苏东方盛虹股份有限公司,"Jiangsu Eastern Shenghong Co., Ltd.",C28,化学纤维制造业,江苏省,320000,苏州市,320500,国营或国有控股,P0301,4
333,美的集团,9/18/2013,美的集团股份有限公司,"Midea Group Co., Ltd.",C38,电气机械及器材制造业,广东省,440000,佛山市,440600,私营企业,P0306,4
338,潍柴动力,4/30/2007,潍柴动力股份有限公司,"Weichai Power Co., Ltd.",C36,汽车制造业,山东省,370000,潍坊市,370700,国营或国有控股,P0301,4
400,许继电气,4/18/1997,许继电气股份有限公司,"XJ Electric Co., Ltd.",C38,电气机械及器材制造业,河南省,410000,许昌市,411000,国营或国有控股,P0301,4
401,冀东水泥,6/14/1996,唐山冀东水泥股份有限公司,"Tangshan Jidong Cement Co., Ltd.",C30,非金属矿物制品业,河北省,130000,唐山市,130200,国营或国有控股,P0301,4
402,金融街,6/26/1996,金融街控股股份有限公司,"Financial Street Holdings Co., Ltd.",K70,房地产业,北京市,110000,北京市,110000,国营或国有控股,P0301,4
403,派林生物,6/28/1996,派斯双林生物制药股份有限公司,"Pacific Shuanglin Bio-pharmacy Co., Ltd.",C27,医药制造业,山西省,140000,太原市,140100,国营或国有控股,P0301,4
404,长虹华意,6/19/1996,长虹华意压缩机股份有限公司,"Changhong Huayi Compressor Co., Ltd.",C34,通用设备制造业,江西省,360000,景德镇市,360200,国营或国有控股,P0301,4
405,ST 鑫光,6/20/1996,珠海鑫光集团股份有限公司,"Zhuhai Xinguang Group Co., Ltd.",C32,有色金属冶炼及压延加工业,广东省,440000,珠海市,440400,私营企业,P0306,4
406,石油大明,6/28/1996,中国石化胜利油田大明(集团)股份有限公司,"Sinopec Shengli Oil Field Dynamic Group Co., Ltd.",B07,石油和天然气开采业,山东省,370000,东营市,370500,国营或国有控股,P0301,4
407,胜利股份,7/3/1996,山东胜利股份有限公司,"Shandong Shengli Co., Ltd.",D45,燃气生产和供应业,山东省,370000,济南市,370100,私营企业,P0306,4
408,藏格矿业,6/28/1996,藏格矿业股份有限公司,Zangge Mining Company Limited,C26,化学原料及化学制品制造业,青海省,630000,格尔木市,632801,私营企业,P0306,4
409,云鼎科技,6/27/1996,云鼎科技股份有限公司,"Yunding Technology Co., Ltd.",I65,软件和信息技术服务业,山东省,370000,济南市,370100,私营企业,P0306,4
410,沈阳机床,7/18/1996,沈阳机床股份有限公司,"Shenyang Machine Tool Co., Ltd.",C34,通用设备制造业,辽宁省,210000,沈阳市,210100,国营或国有控股,P0301,4
411,英特集团,7/16/1996,浙江英特集团股份有限公司,"Zhejiang Int'l Group Co., Ltd.",F51,批发业,浙江省,330000,杭州市,330100,国营或国有控股,P0301,4
412,ST 五环,7/15/1996,长春北方五环实业股份有限公司,"Changchun North China Wohuan Co., Ltd.",S90,综合,吉林省,220000,长春市,220100,私营企业,P0306,4
413,ST 旭电,9/25/1996,东旭光电科技股份有限公司,"Dongxu Optoelectronic Technology Co., Ltd.",C39,计算机、通信和其他电子设备制造业,河北省,130000,石家庄市,130100,国营或国有控股,P0301,4
415,渤海租赁,7/16/1996,渤海租赁股份有限公司,"Bohai Leasing Co., Ltd.",L71,租赁业,新疆维吾尔自治区,650000,乌鲁木齐市,650100,国营或国有控股,P0301,4
416,*ST 民控,7/19/1996,民生控股股份有限公司,"Minsheng Holdings Co., Ltd.",J69,其他金融业,山东省,370000,青岛市,370200,国营或国有控股,P0301,4
417,合百集团,8/12/1996,合肥百货大楼集团股份有限公司,"Hefei Department Store Group Co., Ltd.",F52,零售业,安徽省,340000,合肥市,340100,国营或国有控股,P0301,4
418,小天鹅A,3/28/1997,无锡小天鹅股份有限公司,Wuxi Little Swan Company Limited,C38,电气机械及器材制造业,江苏省,320000,无锡市,320200,私营企业,P0306,4
419,通程控股,8/16/1996,长沙通程控股股份有限公司,"Changsha Tongcheng Holdings Co., Ltd.",F52,零售业,湖南省,430000,长沙市,430100,国营或国有控股,P0301,4
420,吉林化纤,8/2/1996,吉林化纤股份有限公司,"Jilin Chemical Fibre Co., Ltd.",C28,化学纤维制造业,吉林省,220000,吉林市,220200,国营或国有控股,P0301,4
421,南京公用,8/6/1996,南京公用发展股份有限公司,"Nanjing Public Utilities Development Co., Ltd.",D45,燃气生产和供应业,江苏省,320000,南京市,320100,国营或国有控股,P0301,4
422,湖北宜化,8/15/1996,湖北宜化化工股份有限公司,"Hubei Yihua Chemical Industry Co., Ltd.",C26,化学原料及化学制品制造业,湖北省,420000,宜昌市,420500,国营或国有控股,P0301,4
423,东阿阿胶,7/29/1996,东阿阿胶股份有限公司,"Dong-E E-Jiao Co., Ltd.",C27,医药制造业,山东省,370000,聊城市,371500,国营或国有控股,P0301,4
425,徐工机械,8/28/1996,徐工集团工程机械股份有限公司,"XCMG Construction Machinery Co., Ltd.",C35,专用设备制造业,江苏省,320000,徐州市,320300,国营或国有控股,P0301,4
426,兴业银锡,8/28/1996,内蒙古兴业银锡矿业股份有限公司,"Inner Mongolia Xingye Silver ＆Tin Mining Co., Ltd.",B09,有色金属矿采选业,内蒙古自治区,150000,赤峰市,150400,国营或国有控股,P0301,4
428,华天酒店,8/8/1996,华天酒店集团股份有限公司,"Huatian Hotel Group Co., Ltd.",H61,住宿业,湖南省,430000,长沙市,430100,国营或国有控股,P0301,4
429,粤高速A,2/20/1998,广东省高速公路发展股份有限公司,"Guangdong Provincial Expressway Development Co., Ltd.",G54,道路运输业,广东省,440000,广州市,440100,国营或国有控股,P0301,4
430,张家界,8/29/1996,张家界旅游集团股份有限公司,"Zhang Jia Jie Tourism Group Co., Ltd.",N78,公共设施管理业,湖南省,430000,张家界市,430800,私营企业,P0306,4
488,晨鸣纸业,11/20/2000,山东晨鸣纸业集团股份有限公司,Shandong Chenming Paper Holdings Ltd.,C22,造纸及纸制品业,山东省,370000,寿光市,370783,国营或国有控股,P0301,4
498,山东路桥,6/9/1997,山东高速路桥集团股份有限公司,"Shandong High-speed Road & Bridge Group Co., Ltd.",E48,土木工程建筑业,山东省,370000,济南市,370100,国营或国有控股,P0301,4
501,武商集团,11/20/1992,武商集团股份有限公司,"Wuhan Department Store Group Co., Ltd.",F52,零售业,湖北省,420000,武汉市,420100,国营或国有控股,P0301,4
502,绿景退,11/23/1992,绿景控股股份有限公司,"Lvjing Holding Co., Ltd.",K70,房地产业,广东省,440000,广州市,440100,私营企业,P0306,4
503,国新健康,11/30/1992,国新健康保障服务集团股份有限公司,"China Reform Health Management and Services Group Co., Ltd.",I64,互联网和相关服务,山东省,370000,青岛市,370200,国营或国有控股,P0301,4
504,南华生物,12/8/1992,南华生物医药股份有限公司,"Nanhua Bio-Medicine Co., Ltd.",M75,科技推广和应用服务业,湖南省,430000,长沙市,430100,国营或国有控股,P0301,4
505,京粮控股,12/21/1992,海南京粮控股股份有限公司,"Hainan Jingliang Holdings Co., Ltd.",C13,农副食品加工业,海南省,460000,海口市,460100,国营或国有控股,P0301,4
506,*ST 中润,3/12/1993,中润资源投资股份有限公司,Zhongrun Resources Investment Corporation,B09,有色金属矿采选业,山东省,370000,济南市,370100,私营企业,P0306,4
507,珠海港,3/26/1993,珠海港股份有限公司,"Zhuhai Port Co., Ltd.",G55,水上运输业,广东省,440000,珠海市,440400,国营或国有控股,P0301,4
508,琼民源A,4/30/1993,海南民源现代农业发展股份有限公司,"Hainan Minyuan Modern Agriculture Development Co., Ltd.",K70,房地产业,海南省,460000,海口市,460100,国营或国有控股,P0301,4
509,华塑控股,5/7/1993,华塑控股股份有限公司,"Huasu Holdings Co., Ltd.",Q83,卫生,四川省,510000,南充市,511300,私营企业,P0306,4
510,新金路,5/7/1993,四川新金路集团股份有限公司,"Sichuan Xinjinlu Group Co., Ltd.",C26,化学原料及化学制品制造业,四川省,510000,德阳市,510600,国营或国有控股,P0301,4
511,烯碳退,5/18/1993,银基烯碳新材料集团股份有限公司,"Ingenious Ene-Carbon New Materials Group Co., Ltd.",C30,非金属矿物制品业,辽宁省,210000,沈阳市,210100,私营企业,P0306,4
513,丽珠集团,10/28/1993,丽珠医药集团股份有限公司,Livzon Pharmaceutical Group Inc.,C27,医药制造业,广东省,440000,珠海市,440400,私营企业,P0306,4
514,渝开发,7/12/1993,重庆渝开发股份有限公司,"Chongqing Yukaifa Co., Ltd.",K70,房地产业,重庆市,500000,重庆市,500000,国营或国有控股,P0301,4
515,攀渝钛业,7/12/1993,攀钢集团重庆钛业股份有限公司,"Chongqing Titanium Industry Co., Ltd. of Pangang Group",C26,化学原料及化学制品制造业,重庆市,500000,重庆市,500000,国营或国有控股,P0301,4
516,国际医学,8/9/1993,西安国际医学投资股份有限公司,"Xi'an International Medical Investment Co., Ltd.",Q83,卫生,陕西省,610000,西安市,610100,私营企业,P0306,4
517,荣安地产,8/6/1993,荣安地产股份有限公司,"Rongan Property Co., Ltd.",K70,房地产业,浙江省,330000,宁波市,330200,私营企业,P0306,4
518,四环生物,9/8/1993,江苏四环生物股份有限公司,"Jiangsu Sihuan Bioengineering Co., Ltd.",C27,医药制造业,江苏省,320000,江阴市,320281,私营企业,P0306,4
519,中兵红箭,10/8/1993,中兵红箭股份有限公司,"North Industries Group Red Arrow Co., Ltd.",C35,专用设备制造业,湖南省,430000,湘潭市,430300,国营或国有控股,P0301,4
520,凤凰航运,10/25/1993,凤凰航运(武汉)股份有限公司,"Phoenix Shipping (Wuhan) Co., Ltd.",G55,水上运输业,湖北省,420000,武汉市,420100,国营或国有控股,P0301,4
521,长虹美菱,10/18/1993,长虹美菱股份有限公司,"Changhong Meiling Co., Ltd.",C38,电气机械及器材制造业,安徽省,340000,合肥市,340100,国营或国有控股,P0301,4
522,白云山A,11/8/1993,广州白云山制药股份有限公司,"Guangzhou Baiyunshan Pharmaceutical Co., Ltd.",C27,医药制造业,广东省,440000,广州市,440100,国营或国有控股,P0301,4
523,红棉股份,11/8/1993,广州市红棉智汇科创股份有限公司,"Hongmian Zhihui Science and Technology Innovation Co., Ltd. Guangzhou",C26,化学原料及化学制品制造业,广东省,440000,广州市,440100,国营或国有控股,P0301,4
524,岭南控股,11/18/1993,广州岭南集团控股股份有限公司,Guangzhou Lingnan Group Holdings Company Limited,L72,商务服务业,广东省,440000,广州市,440100,国营或国有控股,P0301,4
525,*ST 红阳,10/28/1993,南京红太阳股份有限公司,"Nanjing Red Sun Co., Ltd.",C26,化学原料及化学制品制造业,江苏省,320000,南京市,320100,私营企业,P0306,4
526,学大教育,11/1/1993,学大(厦门)教育科技集团股份有限公司,"Xueda (Xiamen) Education Technology Group Co., Ltd.",P82,教育,福建省,350000,厦门市,350200,私营企业,P0306,4
527,美的电器,11/12/1993,广东美的电器股份有限公司,"GD Midea Holding Co., Ltd.",C38,电气机械及器材制造业,广东省,440000,佛山市,440600,国营或国有控股,P0301,4
528,柳工,11/18/1993,广西柳工机械股份有限公司,"Guangxi LiuGong Machinery Co., Ltd.",C35,专用设备制造业,广西壮族自治区,450000,柳州市,450200,国营或国有控股,P0301,4
529,广弘控股,11/18/1993,广东广弘控股股份有限公司,"Guangdong Guanghong Holding Co., Ltd.",C13,农副食品加工业,广东省,440000,广州市,440100,国营或国有控股,P0301,4
530,冰山冷热,12/8/1993,冰山冷热科技股份有限公司,"Bingshan Refrigeration & Heat Transfer Technologies Co., Ltd.",C34,通用设备制造业,辽宁省,210000,大连市,210200,国营或国有控股,P0301,4
531,穗恒运A,1/6/1994,广州恒运企业集团股份有限公司,Guangzhou Hengyun Enterprises Holdings Ltd.,D44,电力、热力生产和供应业,广东省,440000,广州市,440100,国营或国有控股,P0301,4
532,华金资本,1/3/1994,珠海华金资本股份有限公司,"Zhuhai Huajin Capital Co., Ltd.",S90,综合,广东省,440000,珠海市,440400,国营或国有控股,P0301,4
533,顺钠股份,1/3/1994,广东顺钠电气股份有限公司,"Guangdong Shunna Electric Co., Ltd.",C38,电气机械及器材制造业,广东省,440000,佛山市,440600,私营企业,P0306,4
534,万泽股份,1/10/1994,万泽实业股份有限公司,"Wedge Industrial Co., Ltd.",C27,医药制造业,广东省,440000,汕头市,440500,私营企业,P0306,4
535,*ST 猴王,11/30/1993,猴王股份有限公司,"KMK Co., Ltd.",C33,金属制品业,湖北省,420000,宜昌市,420500,国营或国有控股,P0301,4
536,华映科技,11/26/1993,华映科技(集团)股份有限公司,"CPT Technology (Group) Co., Ltd.",C39,计算机、通信和其他电子设备制造业,福建省,350000,福州市,350100,中外合资,P0303,4
537,中绿电,12/10/1993,天津中绿电投资股份有限公司,"China Green Electricity Investment of Tianjin Co., Ltd.",K70,房地产业,天津市,120000,天津市,120000,国营或国有控股,P0301,4
538,云南白药,12/15/1993,云南白药集团股份有限公司,"Yunnan Baiyao Group Co., Ltd.",C27,医药制造业,云南省,530000,昆明市,530100,国营或国有控股,P0301,4
539,粤电力A,11/26/1993,广东电力发展股份有限公司,"Guangdong Electric Power Development Co., Ltd.",D44,电力、热力生产和供应业,广东省,440000,广州市,440100,中外合资,P0303,4
540,*ST 中天,2/2/1994,中天金融集团股份有限公司,Zhongtian Financial Group Company Limited,K70,房地产业,贵州省,520000,贵阳市,520100,私营企业,P0306,4
541,佛山照明,11/23/1993,佛山电器照明股份有限公司,"Foshan Electrical and Lighting Co., Ltd.",C38,电气机械及器材制造业,广东省,440000,佛山市,440600,中外合资,P0303,4
542,TCL通讯,12/1/1993,TCL通讯设备股份有限公司,"TCL Communication Equipment Co., Ltd.",C39,计算机、通信和其他电子设备制造业,广东省,440000,惠州市,441300,中外合资,P0303,4
