Stkcd,Trdynt,Yclsprc,Ynvaltrd,Ysmvosd,Ndaytrd,Yretwd
5,2022,1.86,4048519572,1967780.01,242,-0.191304
5,2023,1.07,3388456910,1132002.98,242,-0.424731
6,2000,13.21,5889917642,2084630.99,238,0.406525
6,2001,11.15,3640206874,1759548.48,238,-0.143345
6,2002,8.17,2129619637,1289283.51,236,-0.258996
6,2003,5.25,1642002248,828486.95,240,-0.349154
6,2004,4.13,2509473709,651743.07,242,-0.213333
6,2005,4.27,1413410024,673836.06,207,0.05373
6,2006,13.41,11261158710,2539123.53,229,2.864295
6,2007,26.15,35352483905,5716465.7,234,0.974543
6,2008,4.93,19196852281,2277272.55,241,-0.621427
6,2009,11.33,36009156373,5589345.94,234,1.312869
6,2010,6.97,37744537331,5164110.58,239,-0.064413
6,2011,4.1,17185283848,3968184.07,241,-0.228947
6,2012,4.95,13728538228,6263586.42,241,0.580172
6,2013,4.93,18121553374,6597531,238,0.069082
6,2014,7.05,32751856214,9439224.86,245,0.477997
6,2015,11.51,1.55217E+11,15426462.47,244,0.645012
6,2016,9.45,67896194414,12711680.62,244,-0.165348
6,2017,9.85,30050651548,13249916.23,169,0.063794
6,2018,5.18,22378993657,6984235.29,201,-0.458221
6,2019,5.36,17835866297,7226930.73,244,0.071704
6,2020,5.61,41947366014,7573472.21,243,0.077557
6,2021,4.46,9938464150,6020977.91,243,-0.174548
6,2022,6.3,46975073835,8504968.79,242,0.45212
6,2023,4.59,46954985629,6196442.15,242,-0.255685
7,2000,13.3,7459013082,1058160.78,238,0.6625
7,2001,8.73,3241322516,694567.19,234,-0.343609
7,2002,7.86,2123908072,625349.15,232,-0.099656
7,2003,4.75,1084387406,377914.56,237,-0.395674
7,2004,3.38,1839840323,268916.05,241,-0.288421
7,2005,3.22,1609168282,256186.29,241,-0.047337
7,2006,2.42,1626149374,292657.04,214,0.14236
7,2007,7.52,9094655191,1088588.71,227,2.107438
7,2008,3.24,4256455646,469019.6,209,-0.569149
7,2009,7.03,8028882137,1300306.5,240,1.169753
7,2010,8.55,5415789236,1581453.85,233,0.216216
7,2011,6.58,3874752529,1217072.09,232,-0.230409
7,2012,14.47,12554560192,2674513.83,230,1.199088
7,2013,13.88,15626284313,2565206.4,230,-0.040774
7,2014,14.6,8594892354,3005952.21,173,0.051873
7,2015,23.79,21075285687,4898055.01,114,0.629452
7,2016,25.63,19214866727,5278892.25,114,0.077343
7,2017,16.66,3659980922,5147074.41,64,-0.024971
7,2018,8.06,18380422222,2490121.23,190,-0.516206
7,2019,9.5,19657772642,2935006.42,244,0.17866
7,2020,6.97,13527739474,2153367.87,243,-0.266316
7,2021,6.09,16678678482,1881493.59,242,-0.126256
7,2022,7.78,17697001994,2403615.78,241,0.277504
7,2023,4.87,4644050676,1504576.97,241,-0.374036
8,2000,50.31,6381158358,1775468.73,237,0.189362
8,2001,11.96,4099104325,422075.25,237,-0.762274
8,2002,8.59,1868852249,303146.02,233,-0.281773
8,2003,6.95,550570361,245269.48,239,-0.19092
8,2004,8.4,593473664.9,296440.81,240,0.208633
8,2005,4.06,1971870034,171935.3,210,-0.42
8,2006,4.17,1036706701,176593.65,239,0.027094
8,2007,12.41,4182696019,641791.96,238,1.976019
8,2008,4.42,1127555704,228583.44,244,-0.643836
8,2009,12.28,2347103460,635068.92,236,1.778281
8,2010,11.97,3013378431,881627.82,207,-0.025244
8,2011,6.97,1894150488,513362.23,227,-0.417711
8,2012,10.73,1253673245,790297.96,206,0.539455
8,2013,9,7294214634,1325756.12,237,0.677539
8,2014,22.09,8496964095,3253994.75,170,1.454444
8,2015,11.78,47523407180,7547777.32,154,1.319737
8,2016,9.32,38069909373,13935530.19,234,-0.208829
8,2017,8.75,17177062829,17589143.52,243,-0.059839
8,2018,3.89,22350711656,9893010.56,188,-0.550445
8,2019,3.63,31751875936,9539013.53,244,-0.064363
8,2020,2.54,19921086522,6769650.39,243,-0.297935
8,2021,2.94,15060344964,7919721.32,243,0.15748
8,2022,2.3,25206278405,6197330.94,242,-0.217687
8,2023,2.36,14473956890,6340551.76,242,0.026087
9,2000,7.12,18402289218,4127655.17,237,1.011299
9,2001,4.89,5092813209,2834864.3,238,-0.313202
9,2002,5.01,12744642827,2904431.52,236,0.02454
9,2003,4.51,6287847536,2614568.09,240,-0.0998
9,2004,3.43,6745006777,1988463.1,241,-0.239468
9,2005,2.31,2352205918,1339169.02,226,-0.326531
9,2006,4.23,9444116535,2452244.58,223,0.831169
