日期,soya_bean_meal_future_price/share,rice_future_price,cron_future_price,W.CBT_price,broiler_chicken/500g,Black-bone_chicken,cock,,,Festival,,发布日期,broiler_chicken/500g,Black-bone_chicken,cock
2022-04-08,3864,3363,2928,1058.25,7.4,12,15,,,,2022-03-10,2022-03-10,6.75,12,15
2022-04-11,3929,3345,2923,1089,7.4,12,15,,,,2022-03-11,2022-03-11,6.75,12,15
2022-04-12,3906,3327,2913,1112.5,7.4,12,15,,,,#N/A,2022-03-12,6.75,12,15
2022-04-13,3915,3335,2919,1121.25,7.4,12,15,,,,#N/A,2022-03-13,6.75,12,15
2022-04-14,3914,3342,2937,1104.5,7.4,12,15,,,,2022-03-14,2022-03-14,6.75,12,15
2022-04-15,3916,3339,2959,1116.625,7.4,12,15,,,,2022-03-15,2022-03-15,6.75,12,15
2022-04-18,3931,3368,2963,1128.75,7,12,15,,,,2022-03-16,2022-03-16,6.75,12,15
2022-04-19,3978,3426,2984,1109,7,12,15,,,,2022-03-17,2022-03-17,6.75,12,15
2022-04-20,4048,3422,2998,1097.5,7,12,15,,,,2022-03-18,2022-03-18,6.75,12,15
2022-04-21,4091,3424,3013,1076.5,7,12,15,,,,#N/A,2022-03-19,6.75,12,15
2022-04-22,4097,3423,3000,1075.25,7,12,15,,,,#N/A,2022-03-20,6.75,12,15
2022-04-25,4020,3447,2981,1072.5,7,12,15,,,,2022-03-21,2022-03-21,6.75,12,15
2022-04-26,3982,3449,2991,1095,7,12,15,,,,2022-03-22,2022-03-22,6.75,12,15
2022-04-27,4005,3440,2988,1091.25,7.25,12,15,,,,2022-03-23,2022-03-23,6.75,12,15
2022-04-28,4030,3429,3009,1085.75,7.25,12,15,,,,2022-03-24,2022-03-24,6.75,12,15
2022-04-29,4049,3416,3027,1055.75,7.5,12,15,,,,2022-03-25,2022-03-25,6.75,12,15
2022-05-05,4025,3427,3024,1106.5,7.2,12,15,,,,#N/A,2022-03-26,6.75,12,15
2022-05-06,4028,3425,3003,1108.5,7.2,12,15,,,,#N/A,2022-03-27,6.75,12,15
2022-05-09,3928,3433,2990,1092.75,7.2,12,15,,,,2022-03-28,2022-03-28,6.75,12,15
2022-05-10,3901,3448,2971,1092.75,7.2,12,15,,,,2022-03-29,2022-03-29,6.75,12,15
2022-05-11,3927,3452,2971,1113,7.2,12,15,,,,2022-03-30,2022-03-30,7,12,15
2022-05-12,3942,3454,2974,1178.75,7.2,12,15,,,,2022-03-31,2022-03-31,7,12,15
2022-05-13,4017,3449,2990,1177.5,7.2,12,15,,,,2022-04-01,2022-04-01,7,12,15
2022-05-16,4106,3462,2992,1247.5,7.35,12,15,,,,#N/A,2022-04-02,7,12,15
2022-05-17,4128,3458,3008,1277.5,7.35,12,15,,,,#N/A,2022-04-03,7,12,15
2022-05-18,4143,3454,3011,1230.75,7.35,12,15,,,,#N/A,2022-04-04,6.9,12,15
2022-05-19,4129,3445,3003,1200.5,7.35,12,15,,,清明节,#N/A,2022-04-05,6.9,12,15
2022-05-20,4155,3432,2998,1168.75,7.35,12,14,,,,2022-04-06,2022-04-06,7,12,15
2022-05-23,4195,3410,2993,1190,7.35,12,14,,,,2022-04-07,2022-04-07,7.25,12,15
2022-05-24,4113,3389,2969,1154.75,7.35,12,14,,,,2022-04-08,2022-04-08,7.4,12,15
2022-05-25,4097,3392,2942,1148.25,7.35,12,14,,,,#N/A,2022-04-09,7.4,12,15
2022-05-26,4080,3380,2931,1143.25,7.35,12,14,,,,#N/A,2022-04-10,7.4,12,15
2022-05-27,4172,3376,2938,1157.5,7.35,12,14,,,,2022-04-11,2022-04-11,7.4,12,15
2022-05-30,4188,3392,2933,1122.5,7.5,12,14,,,,2022-04-12,2022-04-12,7.4,12,15
2022-05-31,4205,3386,2935,1087.5,7.5,12,14,,,,2022-04-13,2022-04-13,7.4,12,15
2022-06-01,4144,3373,2897,1041.25,7.5,12,14,,,,2022-04-14,2022-04-14,7.4,12,15
2022-06-02,4134,3368,2877,1058.25,7.5,12,14,,,,2022-04-15,2022-04-15,7.4,12,15
2022-06-06,4166,3358,2893,1093,7.5,12,14,,,,#N/A,2022-04-16,7.4,12,15
2022-06-07,4129,3356,2886,1071.75,7.5,12,14,,,,#N/A,2022-04-17,7,12,15
2022-06-08,4154,3349,2896,1074.75,7.5,12,14,,,,2022-04-18,2022-04-18,7,12,15
2022-06-09,4209,3357,2877,1071.25,7.5,12,14,,,,2022-04-19,2022-04-19,7,12,15
2022-06-10,4239,3371,2860,1070.75,7.5,12,14,,,,2022-04-20,2022-04-20,7,12,15
2022-06-13,4210,3367,2877,1071,7.5,12,14,,,,2022-04-21,2022-04-21,7,12,15
2022-06-14,4131,3372,2893,1050.25,7.35,12,14,,,,2022-04-22,2022-04-22,7,12,15
2022-06-15,4118,3369,2881,1050,7.35,12,14,,,,#N/A,2022-04-23,7,12,15
2022-06-16,4115,3374,2888,1078.25,7.35,12,14,,,,#N/A,2022-04-24,7,12,15
2022-06-17,4151,3358,2897,1034.25,7.35,12,14,,,,2022-04-25,2022-04-25,7,12,15
2022-06-20,4157,3344,2906,1004.75,7.35,12,14,,,,2022-04-26,2022-04-26,7,12,15
2022-06-21,4105,3338,2895,975.25,7.35,12,14,,,,2022-04-27,2022-04-27,7.25,12,15
2022-06-22,4076,3318,2872,988.75,7.35,12,14,,,,2022-04-28,2022-04-28,7.25,12,15
2022-06-23,3891,3317,2834,949.25,7.35,12,14,,,,2022-04-29,2022-04-29,7.5,12,15
2022-06-24,3787,3319,2795,936.5,7.35,12,14,,,,#N/A,2022-04-30,7.5,12,15
2022-06-27,3805,3324,2799,917.5,7.35,12,14,,,,#N/A,2022-05-01,7.5,12,15
2022-06-28,3866,3329,2805,936,7.35,12,14,,,,#N/A,2022-05-02,7.5,12,15
2022-06-29,3887,3332,2811,930,7.5,12,14,,,,#N/A,2022-05-03,7.2,12,15
2022-06-30,3901,3333,2792,884,7.5,12,14,,,劳动节,#N/A,2022-05-04,7.2,12,15
2022-07-01,3886,3323,2739,846,7.5,12,14,,,,2022-05-05,2022-05-05,7.2,12,15
2022-07-04,3816,3321,2707,826.5,7.5,12,14,,,,2022-05-06,2022-05-06,7.2,12,15
2022-07-05,3833,3352,2703,807,7.5,12,14,,,,#N/A,2022-05-07,7.2,12,15
