danjia,area,floor,hall,room,school,chaoxiang,year,subway,district,city
103513,279,高层,6,2,1,南北向,2007,0,龙华,深圳
60350,249,高层,6,2,1,其他,1998,0,罗湖,深圳
75233,222,高层,6,2,1,南向,2004,0,罗湖,深圳
60123,163,低层,6,2,1,其他,2012,0,龙岗,深圳
81395,258,中层,6,2,1,南北向,2007,0,龙岗,深圳
86310,168,中层,6,2,1,南向,2008,0,宝安,深圳
55000,200,高层,6,2,1,南向,2003,0,罗湖,深圳
57836,268,低层,6,2,1,南北向,2016,0,龙华,深圳
89820,167,中层,6,2,1,南向,2008,0,宝安,深圳
32368,228,低层,6,2,1,其他,2007,0,龙岗,深圳
40851,235,高层,6,2,1,南北向,2006,0,龙岗,深圳
48315,178,高层,6,2,1,南北向,2013,0,龙华,深圳
92096,291,中层,6,2,1,南北向,2010,0,南山,深圳
45867,150,高层,6,2,1,其他,2002,0,龙华,深圳
66667,180,高层,6,2,1,南向,2016,0,龙华,深圳
57025,242,中层,6,2,1,南北向,2010,0,龙岗,深圳
83520,250,低层,6,2,0,其他,2016,0,宝安,深圳
89333,300,中层,6,2,0,南北向,2016,0,宝安,深圳
70149,335,高层,6,2,0,其他,2015,0,宝安,深圳
104064,325,低层,6,2,0,南向,2004,0,思明,厦门
77163,141,中层,6,2,1,南北向,2006,0,思明,厦门
59814,284,中层,6,2,0,其他,2008,0,思明,厦门
71233,365,低层,6,2,1,南北向,2010,0,思明,厦门
71233,365,低层,6,2,1,南北向,2010,0,思明,厦门
102397,230,高层,6,2,1,南北向,2012,0,湖里,厦门
74797,123,高层,6,2,0,南北向,2009,0,湖里,厦门
62535,142,中层,6,2,1,南北向,2006,0,思明,厦门
42529,282,高层,6,2,0,南北向,2008,0,湖里,厦门
58706,201,低层,6,2,1,南北向,2006,0,思明,厦门
59814,284,中层,6,2,0,其他,2008,0,思明,厦门
23000,190,高层,6,2,0,南北向,2000,0,岛外,厦门
71233,365,低层,6,2,1,南北向,2010,0,思明,厦门
77163,141,中层,6,2,1,南北向,2006,0,思明,厦门
30995,177,高层,6,2,0,其他,2013,0,岛外,厦门
34729,203,高层,6,2,1,其他,2012,0,岛外,厦门
30995,177,高层,6,2,0,其他,2013,0,岛外,厦门
66007,303,低层,6,2,0,南向,2005,0,湖里,厦门
58706,201,低层,6,2,1,南北向,2006,0,思明,厦门
59814,284,中层,6,2,0,其他,2008,0,思明,厦门
59814,284,中层,6,2,0,其他,2008,0,思明,厦门
59814,284,中层,6,2,0,其他,2008,0,思明,厦门
47809,251,高层,6,2,0,南北向,2005,0,思明,厦门
59810,284,中层,6,2,0,其他,2008,0,思明,厦门
121095,362,低层,6,2,0,南北向,2013,0,湖里,厦门
61765,272,低层,6,2,0,南北向,2008,0,思明,厦门
59180,284,中层,6,2,0,其他,2008,0,思明,厦门
99291,282,低层,6,1,0,其他,2011,0,南山,深圳
65905,143,高层,6,0,1,南向,1998,0,福田,深圳
35294,391,低层,5,3,0,南向,2015,1,白云,广州
40625,320,低层,5,3,0,南向,2005,0,白云,广州
60870,230,低层,5,3,0,南向,2011,0,白云,广州
20385,260,低层,5,3,0,南向,2008,1,番禺,广州
64975,394,高层,5,3,0,其他,2010,1,天河,广州
41238,210,低层,5,3,0,南向,2017,0,天河,广州
42957,230,低层,5,3,0,南向,2016,0,天河,广州
50811,370,低层,5,3,0,其他,2005,0,番禺,广州
104802,262,中层,5,3,0,南向,2016,0,南山,深圳
61695,259,低层,5,3,0,其他,1998,0,南山,深圳
114428,201,低层,5,3,0,南向,2013,0,宝安,深圳
55556,216,低层,5,3,0,南北向,2014,0,龙华,深圳
59259,270,低层,5,3,1,南北向,2007,0,龙华,深圳
97959,245,低层,5,3,0,南向,2017,0,宝安,深圳
46154,260,低层,5,3,0,南向,2008,0,龙岗,深圳
109243,372,中层,5,3,1,南北向,2008,0,南山,深圳
57471,261,低层,5,3,0,其他,2014,0,龙华,深圳
69750,288,中层,5,3,0,其他,2015,0,宝安,深圳
65934,273,低层,5,3,1,南北向,2007,0,龙华,深圳
54307,120,高层,5,3,0,南向,2011,0,龙岗,深圳
45794,214,低层,5,3,0,南北向,2012,0,龙岗,深圳
114458,249,低层,5,3,1,其他,2016,0,龙华,深圳
65117,274,中层,5,3,1,南北向,2016,0,龙华,深圳
81221,213,低层,5,3,1,其他,2007,0,龙华,深圳
79633,308,高层,5,3,1,其他,2002,0,罗湖,深圳
76336,262,中层,5,3,1,南北向,2006,0,南山,深圳
93923,181,低层,5,3,1,其他,2013,0,南山,深圳
88372,172,低层,5,3,0,南北向,2015,0,南山,深圳
100000,260,低层,5,3,0,南向,2012,0,宝安,深圳
65925,141,低层,5,3,1,南向,2007,0,龙岗,深圳
55838,197,高层,5,3,0,南北向,1998,0,福田,深圳
44068,295,高层,5,3,1,南北向,2002,0,福田,深圳
65582,335,高层,5,3,0,南北向,2015,0,宝安,深圳
68000,250,中层,5,3,0,南向,2016,0,宝安,深圳
84266,286,低层,5,3,1,南北向,2008,0,龙华,深圳
80000,250,中层,5,3,0,南向,2016,0,宝安,深圳
81667,300,中层,5,3,0,南北向,2016,0,宝安,深圳
45590,208,高层,5,3,1,南北向,2000,0,宝安,深圳
60000,175,低层,5,3,0,南北向,2014,0,南山,深圳
62727,220,低层,5,3,0,南向,2009,0,南山,深圳
106205,358,低层,5,3,0,南向,2008,0,宝安,深圳
62693,295,高层,5,3,1,其他,2003,0,福田,深圳
36161,224,高层,5,3,1,南北向,2007,0,龙岗,深圳
63889,180,中层,5,3,0,其他,2016,0,龙岗,深圳
62431,109,高层,5,3,0,南向,2005,0,龙华,深圳
54545,220,低层,5,3,1,南向,2007,0,龙岗,深圳
108262,351,低层,5,3,0,南向,1998,0,南山,深圳
83333,360,高层,5,3,1,南北向,2006,0,南山,深圳
55000,230,高层,5,3,0,南向,2004,0,思明,厦门
55000,230,高层,5,3,0,南向,2004,0,思明,厦门
29320,222,高层,5,3,1,南北向,2003,0,岛外,厦门
16894,255,低层,5,3,0,南北向,2008,0,岛外,厦门
41667,240,中层,5,3,1,其他,2012,0,岛外,厦门
34999,181,高层,5,3,1,南北向,2009,0,岛外,厦门
58402,219,高层,5,3,0,南北向,2008,0,湖里,厦门
75586,212,高层,5,3,1,其他,2009,0,思明,厦门
61719,256,低层,5,3,1,南北向,2006,0,思明,厦门
42035,226,高层,5,3,1,南北向,2011,0,岛外,厦门
116317,248,低层,5,3,0,南北向,2004,0,湖里,厦门
45000,222,高层,5,3,1,南北向,2006,0,湖里,厦门
76174,298,低层,5,3,1,南北向,2016,0,湖里,厦门
44000,200,低层,5,3,0,南向,2004,0,思明,厦门
73113,212,高层,5,3,1,其他,2009,0,思明,厦门
58640,266,低层,5,3,0,南北向,2009,0,湖里,厦门
32342,269,低层,5,3,1,南北向,2012,0,岛外,厦门
24479,266,低层,5,3,1,南北向,2012,0,岛外,厦门
44000,200,低层,5,3,0,南向,2004,0,思明,厦门
56914,175,高层,5,3,1,南北向,2002,0,湖里,厦门
43564,202,低层,5,3,0,南向,2004,0,思明,厦门
77830,212,高层,5,3,1,其他,2009,0,思明,厦门
73438,256,高层,5,3,1,南北向,2006,0,思明,厦门
42199,178,高层,5,3,0,南北向,2001,0,思明,厦门
42199,178,高层,5,3,0,南北向,2001,0,思明,厦门
42199,178,高层,5,3,0,南北向,2001,0,思明,厦门
42199,178,高层,5,3,0,南北向,2001,0,思明,厦门
42199,178,高层,5,3,0,南北向,2001,0,思明,厦门
53892,167,低层,5,3,0,南北向,2015,0,岛外,厦门
29319,222,高层,5,3,1,南北向,2003,0,岛外,厦门
61391,355,高层,5,3,1,其他,2015,0,岛外,厦门
44475,292,低层,5,3,1,南北向,2008,0,岛外,厦门
58402,219,高层,5,3,0,南北向,2008,0,湖里,厦门
37681,345,中层,5,3,1,南北向,2000,0,湖里,厦门
65934,182,高层,5,3,1,南北向,2007,0,思明,厦门
82902,386,高层,5,2,1,南北向,2007,1,天河,广州
34483,174,高层,5,2,1,南北向,2004,1,海珠,广州
26966,267,中层,5,2,0,南北向,2012,1,白云,广州
25000,160,中层,5,2,0,其他,1997,1,海珠,广州
26966,267,中层,5,2,0,南北向,2012,1,白云,广州
27356,329,低层,5,2,0,其他,2012,1,白云,广州
45026,191,高层,5,2,1,南北向,2007,1,海珠,广州
27389,157,高层,5,2,0,其他,2012,1,白云,广州
49738,191,高层,5,2,1,南北向,2007,1,海珠,广州
70000,260,高层,5,2,1,南北向,2014,1,天河,广州
39548,177,低层,5,2,0,南向,2003,0,番禺,广州
19987,155,中层,5,2,0,其他,2011,0,白云,广州
33945,218,高层,5,2,1,南北向,2007,1,荔湾,广州
50000,120,中层,5,2,1,南向,2014,1,天河,广州
61111,360,中层,5,2,1,南北向,2010,1,海珠,广州
63889,360,中层,5,2,1,南向,2010,1,海珠,广州
67114,298,中层,5,2,0,南北向,2014,0,天河,广州
35789,190,高层,5,2,1,其他,2002,1,黄埔,广州
58580,338,中层,5,2,1,南北向,2012,1,海珠,广州
58929,280,高层,5,2,1,南向,2017,1,天河,广州
50000,120,中层,5,2,1,南向,2014,1,天河,广州
67027,370,中层,5,2,1,南北向,2016,1,海珠,广州
82902,386,高层,5,2,1,南北向,2007,1,天河,广州
60606,363,中层,5,2,1,南北向,2016,1,海珠,广州
66680,342,中层,5,2,1,南北向,2016,1,海珠,广州
45026,191,高层,5,2,1,其他,2000,1,海珠,广州
27071,198,低层,5,2,1,其他,1997,0,番禺,广州
22308,260,低层,5,2,1,其他,1997,0,番禺,广州
24165,281,低层,5,2,0,南向,2007,0,番禺,广州
27363,201,低层,5,2,0,其他,2006,0,番禺,广州
33333,300,低层,5,2,0,其他,2010,0,番禺,广州
50000,120,中层,5,2,1,南向,2014,1,天河,广州
38710,310,低层,5,2,1,南向,2005,0,番禺,广州
68276,290,高层,5,2,1,南北向,2016,1,天河,广州
68966,290,中层,5,2,1,南北向,2016,1,天河,广州
57875,273,高层,5,2,1,其他,2006,1,天河,广州
57802,273,高层,5,2,1,其他,2008,1,天河,广州
40000,350,高层,5,2,1,南向,2000,1,番禺,广州
20833,168,中层,5,2,1,其他,2016,1,荔湾,广州
20783,166,中层,5,2,1,其他,2016,1,荔湾,广州
20970,165,中层,5,2,1,其他,2016,1,荔湾,广州
61086,221,低层,5,2,1,南向,2017,1,天河,广州
69863,291,中层,5,2,1,南向,2017,1,天河,广州
63719,320,高层,5,2,1,南向,2014,1,天河,广州
57949,351,中层,5,2,1,南向,2007,1,天河,广州
39111,225,低层,5,2,0,南向,2003,0,番禺,广州
36170,235,低层,5,2,0,南向,2003,0,番禺,广州
60870,345,低层,5,2,1,南北向,2009,0,天河,广州
48964,204,中层,5,2,1,其他,2001,1,海珠,广州
56102,196,中层,5,2,1,其他,2007,1,海珠,广州
80311,386,高层,5,2,1,南北向,2007,1,天河,广州
49863,365,中层,5,2,1,南北向,2010,1,海珠,广州
59574,235,低层,5,2,0,南北向,2008,1,天河,广州
25758,330,低层,5,2,0,南北向,2004,0,白云,广州
56875,240,高层,5,2,1,南北向,2010,1,天河,广州
62859,278,低层,5,2,1,其他,2010,1,天河,广州
70991,222,低层,5,2,1,南北向,2008,1,天河,广州
32114,246,中层,5,2,1,南向,2001,0,番禺,广州
57143,245,高层,5,2,1,南北向,2002,1,海珠,广州
46154,260,高层,5,2,0,南北向,2007,1,海珠,广州
59701,335,中层,5,2,0,南北向,2010,1,天河,广州
63158,190,中层,5,2,1,南北向,2014,0,天河,广州
58086,303,高层,5,2,1,南北向,2004,1,海珠,广州
93229,192,中层,5,2,1,南北向,2000,0,福田,深圳
94737,190,高层,5,2,1,南北向,2000,0,福田,深圳
81898,214,高层,5,2,1,南北向,2016,0,龙华,深圳
118959,269,低层,5,2,1,南北向,2016,0,龙华,深圳
88525,183,中层,5,2,1,其他,2003,0,南山,深圳
